cross_section,longitudinal,depth,Temperature,Unit
5,5,16,25.4,T6TTemp C
10,5,16,25.4,T6TTemp C
15,5,16,25.2,T6TTemp C
20,5,16,25.2,T6TTemp C
25,5,16,25.2,T6TTemp C
30,5,16,24.4,T6TTemp C
35,5,16,24.2,T6TTemp C
40,5,16,25.2,T6TTemp C
45,5,16,24.9,T6TTemp C
50,5,16,24.6,T6TTemp C
55,5,16,25.3,T6TTemp C
58,5,16,25.6,T6TTemp C
0,0,19.2,24.1,T7TTemp C
5,0,19.2,24.6,T7TTemp C
10,0,19.2,24.6,T7TTemp C
15,0,19.2,24.6,T7TTemp C
20,0,19.2,24.6,T7TTemp C
25,0,19.2,24.6,T7TTemp C
30,0,19.2,24.3,T7TTemp C
35,0,19.2,24.6,T7TTemp C
40,0,19.2,24.5,T7TTemp C
45,0,19.2,24.4,T7TTemp C
50,0,19.2,24,T7TTemp C
55,0,19.2,24.3,T7TTemp C
58,0,19.2,25,T7TTemp C
0,5,19.2,25,T7TTemp C
5,5,19.2,25.1,T7TTemp C
10,5,19.2,25.2,T7TTemp C
15,5,19.2,25.1,T7TTemp C
20,5,19.2,25.1,T7TTemp C
25,5,19.2,25,T7TTemp C
30,5,19.2,24.4,T7TTemp C
35,5,19.2,24.1,T7TTemp C
40,5,19.2,25.1,T7TTemp C
45,5,19.2,25,T7TTemp C
50,5,19.2,24.6,T7TTemp C
55,5,19.2,25,T7TTemp C
58,5,19.2,25.3,T7TTemp C
0,0,22.4,23.5,T8TTemp C
5,0,22.4,22.1,T8TTemp C
10,0,22.4,21.4,T8TTemp C
15,0,22.4,22.2,T8TTemp C
20,0,22.4,23.3,T8TTemp C
25,0,22.4,23.5,T8TTemp C
30,0,22.4,21.9,T8TTemp C
35,0,22.4,23.8,T8TTemp C
40,0,22.4,23.9,T8TTemp C
45,0,22.4,24.8,T8TTemp C
50,0,22.4,24.5,T8TTemp C
55,0,22.4,25,T8TTemp C
58,0,22.4,25.3,T8TTemp C
0,5,22.4,23.7,T8TTemp C
5,5,22.4,25.4,T8TTemp C
10,5,22.4,23.3,T8TTemp C
15,5,22.4,25.5,T8TTemp C
20,5,22.4,25.4,T8TTemp C
25,5,22.4,25.5,T8TTemp C
30,5,22.4,23.4,T8TTemp C
35,5,22.4,23.3,T8TTemp C
40,5,22.4,25.5,T8TTemp C
45,5,22.4,25.5,T8TTemp C
50,5,22.4,25,T8TTemp C
55,5,22.4,25.3,T8TTemp C
58,5,22.4,25.5,T8TTemp C
0,0,25.6,24,T9TTemp C
5,0,25.6,24.2,T9TTemp C
10,0,25.6,24.1,T9TTemp C
15,0,25.6,24,T9TTemp C
20,0,25.6,24.2,T9TTemp C
25,0,25.6,24.5,T9TTemp C
30,0,25.6,24.2,T9TTemp C
35,0,25.6,24.7,T9TTemp C
40,0,25.6,24.6,T9TTemp C
45,0,25.6,24.5,T9TTemp C
50,0,25.6,24.3,T9TTemp C
55,0,25.6,24.8,T9TTemp C
58,0,25.6,24.9,T9TTemp C
0,5,25.6,24.5,T9TTemp C
5,5,25.6,24.9,T9TTemp C
10,5,25.6,25.1,T9TTemp C
15,5,25.6,25.2,T9TTemp C
20,5,25.6,25.2,T9TTemp C
25,5,25.6,25.3,T9TTemp C
30,5,25.6,23.1,T9TTemp C
35,5,25.6,23.3,T9TTemp C
40,5,25.6,25.2,T9TTemp C
45,5,25.6,25.2,T9TTemp C
50,5,25.6,24.9,T9TTemp C
55,5,25.6,25.1,T9TTemp C
58,5,25.6,25.3,T9TTemp C
0,0,28.8,24.3,T10TTemp C
5,0,28.8,24.7,T10TTemp C
10,0,28.8,24.5,T10TTemp C
15,0,28.8,24.6,T10TTemp C
20,0,28.8,24.8,T10TTemp C
25,0,28.8,24.9,T10TTemp C
30,0,28.8,24.3,T10TTemp C
35,0,28.8,24.9,T10TTemp C
40,0,28.8,24.8,T10TTemp C
45,0,28.8,25,T10TTemp C
50,0,28.8,24.9,T10TTemp C
55,0,28.8,25.3,T10TTemp C
58,0,28.8,25.4,T10TTemp C
0,5,28.8,25,T10TTemp C
5,5,28.8,25.2,T10TTemp C
10,5,28.8,25.5,T10TTemp C
15,5,28.8,25.5,T10TTemp C
20,5,28.8,25.5,T10TTemp C
25,5,28.8,25.7,T10TTemp C
30,5,28.8,24.3,T10TTemp C
35,5,28.8,24.3,T10TTemp C
40,5,28.8,25.7,T10TTemp C
45,5,28.8,25.7,T10TTemp C
50,5,28.8,25.4,T10TTemp C
55,5,28.8,25.5,T10TTemp C
58,5,28.8,25.7,T10TTemp C
