cross_section,longitudinal,depth,Temperature,Unit
0,15,3.2,21.7,T2TTemp C
5,15,3.2,21.8,T2TTemp C
10,15,3.2,19.7,T2TTemp C
15,15,3.2,23.5,T2TTemp C
20,15,3.2,21.4,T2TTemp C
25,15,3.2,14.8,T2TTemp C
30,15,3.2,15.5,T2TTemp C
35,15,3.2,19.6,T2TTemp C
40,15,3.2,19.2,T2TTemp C
45,15,3.2,21,T2TTemp C
0,20,3.2,20.5,T2TTemp C
5,20,3.2,22,T2TTemp C
10,20,3.2,23.4,T2TTemp C
15,20,3.2,22.5,estimate
20,20,3.2,23.9,T2TTemp C
25,20,3.2,22.4,T2TTemp C
30,20,3.2,20.3,T2TTemp C
35,20,3.2,19.7,T2TTemp C
40,20,3.2,18.6,T2TTemp C
45,20,3.2,14.7,T2TTemp C
0,25,3.2,21.8,T2TTemp C
5,25,3.2,23,T2TTemp C
10,25,3.2,22,T2TTemp C
15,25,3.2,23.2,T2TTemp C
20,25,3.2,17.1,T2TTemp C
25,25,3.2,21.1,T2TTemp C
30,25,3.2,22.2,T2TTemp C
35,25,3.2,23.4,T2TTemp C
40,25,3.2,23.1,T2TTemp C
45,25,3.2,22.4,T2TTemp C
0,30,3.2,22.1,T2TTemp C
5,30,3.2,22.5,T2TTemp C
10,30,3.2,24.1,T2TTemp C
15,30,3.2,23.1,T2TTemp C
20,30,3.2,23.3,T2TTemp C
25,30,3.2,24.1,T2TTemp C
30,30,3.2,23.5,T2TTemp C
35,30,3.2,22.2,T2TTemp C
40,30,3.2,23.8,T2TTemp C
45,30,3.2,22.6,T2TTemp C
0,35,3.2,24.2,T2TTemp C
5,35,3.2,24.1,T2TTemp C
10,35,3.2,24.2,T2TTemp C
15,35,3.2,23.8,T2TTemp C
20,35,3.2,23.5,T2TTemp C
25,35,3.2,23.7,T2TTemp C
30,35,3.2,23.6,T2TTemp C
35,35,3.2,23.9,T2TTemp C
40,35,3.2,24.3,T2TTemp C
45,35,3.2,24.4,T2TTemp C
0,40,3.2,23.8,T2TTemp C
5,40,3.2,24.4,T2TTemp C
10,40,3.2,23.9,T2TTemp C
15,40,3.2,24.2,T2TTemp C
20,40,3.2,24,T2TTemp C
25,40,3.2,24.1,T2TTemp C
30,40,3.2,23.8,T2TTemp C
35,40,3.2,23.9,T2TTemp C
40,40,3.2,24.2,T2TTemp C
45,40,3.2,24.3,T2TTemp C
0,45,3.2,24.1,T2TTemp C
5,45,3.2,23.7,T2TTemp C
10,45,3.2,23.7,T2TTemp C
15,45,3.2,24.3,T2TTemp C
20,45,3.2,24.1,T2TTemp C
25,45,3.2,24.3,T2TTemp C
30,45,3.2,24.3,T2TTemp C
35,45,3.2,24.5,T2TTemp C
40,45,3.2,24.5,T2TTemp C
45,45,3.2,24.2,T2TTemp C
0,-10,6.4,24.7,T3TTemp C
5,-10,6.4,24.6,T3TTemp C
10,-10,6.4,22.7,T3TTemp C
15,-10,6.4,22.5,T3TTemp C
20,-10,6.4,23.4,T3TTemp C
25,-10,6.4,23.5,T3TTemp C
30,-10,6.4,23.5,T3TTemp C
35,-10,6.4,23.3,T3TTemp C
40,-10,6.4,23.5,T3TTemp C
45,-10,6.4,23.3,T3TTemp C
0,-5,6.4,23.8,T3TTemp C
5,-5,6.4,22.5,T3TTemp C
10,-5,6.4,22.7,T3TTemp C
15,-5,6.4,22.7,T3TTemp C
20,-5,6.4,23,T3TTemp C
25,-5,6.4,23.1,T3TTemp C
30,-5,6.4,23.2,T3TTemp C
35,-5,6.4,23.2,T3TTemp C
40,-5,6.4,23.4,T3TTemp C
45,-5,6.4,23.6,T3TTemp C
0,0,6.4,23.5,T3TTemp C
5,0,6.4,23.1,T3TTemp C
10,0,6.4,22.9,T3TTemp C
15,0,6.4,23.4,T3TTemp C
20,0,6.4,23,T3TTemp C
25,0,6.4,22.7,T3TTemp C
30,0,6.4,23.1,T3TTemp C
35,0,6.4,23.1,T3TTemp C
40,0,6.4,22.9,T3TTemp C
45,0,6.4,22.7,T3TTemp C
0,5,6.4,23,T3TTemp C
5,5,6.4,23,T3TTemp C
10,5,6.4,22.9,T3TTemp C
15,5,6.4,23.1,T3TTemp C
20,5,6.4,23,T3TTemp C
25,5,6.4,23.5,T3TTemp C
30,5,6.4,23.7,T3TTemp C
35,5,6.4,23,T3TTemp C
40,5,6.4,22.7,T3TTemp C
45,5,6.4,22.8,T3TTemp C
0,10,6.4,23.6,T3TTemp C
5,10,6.4,23.5,T3TTemp C
10,10,6.4,23.5,T3TTemp C
15,10,6.4,23.8,T3TTemp C
20,10,6.4,23.8,T3TTemp C
25,10,6.4,23.9,T3TTemp C
30,10,6.4,23.6,T3TTemp C
35,10,6.4,23.7,T3TTemp C
40,10,6.4,23.6,T3TTemp C
45,10,6.4,23.7,T3TTemp C
0,15,6.4,23.5,T3TTemp C
5,15,6.4,23.7,T3TTemp C
10,15,6.4,23.6,T3TTemp C
15,15,6.4,24.2,T3TTemp C
20,15,6.4,23.6,T3TTemp C
25,15,6.4,23.5,T3TTemp C
30,15,6.4,23,T3TTemp C
35,15,6.4,23.3,T3TTemp C
40,15,6.4,23.2,T3TTemp C
45,15,6.4,23.2,T3TTemp C
0,20,6.4,23.6,T3TTemp C
5,20,6.4,23.6,T3TTemp C
10,20,6.4,24.1,T3TTemp C
15,20,6.4,23,estimate
20,20,6.4,24.3,T3TTemp C
25,20,6.4,24.2,T3TTemp C
30,20,6.4,22.2,T3TTemp C
35,20,6.4,23.9,T3TTemp C
40,20,6.4,23,T3TTemp C
45,20,6.4,22.8,T3TTemp C
0,25,6.4,23.8,T3TTemp C
5,25,6.4,24.2,T3TTemp C
10,25,6.4,24.4,T3TTemp C
15,25,6.4,24.7,T3TTemp C
20,25,6.4,24.6,T3TTemp C
25,25,6.4,23.4,T3TTemp C
30,25,6.4,23.8,T3TTemp C
35,25,6.4,24.6,T3TTemp C
40,25,6.4,24.2,T3TTemp C
45,25,6.4,24.6,T3TTemp C
0,30,6.4,24.3,T3TTemp C
5,30,6.4,24.9,T3TTemp C
10,30,6.4,24.7,T3TTemp C
15,30,6.4,24.7,T3TTemp C
20,30,6.4,24.5,T3TTemp C
25,30,6.4,24.5,T3TTemp C
30,30,6.4,24.5,T3TTemp C
35,30,6.4,24.5,T3TTemp C
40,30,6.4,24.6,T3TTemp C
45,30,6.4,24.4,T3TTemp C
0,35,6.4,24.7,T3TTemp C
5,35,6.4,24.7,T3TTemp C
10,35,6.4,24.7,T3TTemp C
15,35,6.4,24.6,T3TTemp C
20,35,6.4,24.2,T3TTemp C
25,35,6.4,24.1,T3TTemp C
30,35,6.4,24.4,T3TTemp C
35,35,6.4,24.5,T3TTemp C
40,35,6.4,24.6,T3TTemp C
45,35,6.4,24.6,T3TTemp C
0,40,6.4,24.4,T3TTemp C
5,40,6.4,24.6,T3TTemp C
10,40,6.4,24.6,T3TTemp C
15,40,6.4,24.4,T3TTemp C
20,40,6.4,24.4,T3TTemp C
25,40,6.4,24.4,T3TTemp C
30,40,6.4,24.2,T3TTemp C
35,40,6.4,24.2,T3TTemp C
40,40,6.4,24.3,T3TTemp C
45,40,6.4,24.4,T3TTemp C
0,45,6.4,24.4,T3TTemp C
5,45,6.4,24.5,T3TTemp C
10,45,6.4,24.4,T3TTemp C
15,45,6.4,24.3,T3TTemp C
20,45,6.4,24.3,T3TTemp C
25,45,6.4,24.3,T3TTemp C
30,45,6.4,24.3,T3TTemp C
35,45,6.4,24.4,T3TTemp C
40,45,6.4,24.4,T3TTemp C
45,45,6.4,24.2,T3TTemp C
0,-10,9.6,25.2,T4TTemp C
5,-10,9.6,25.2,T4TTemp C
10,-10,9.6,24.5,T4TTemp C
15,-10,9.6,24.6,T4TTemp C
20,-10,9.6,24.3,T4TTemp C
25,-10,9.6,24.5,T4TTemp C
30,-10,9.6,24.2,T4TTemp C
35,-10,9.6,24,T4TTemp C
40,-10,9.6,24.8,T4TTemp C
45,-10,9.6,24.3,T4TTemp C
0,-5,9.6,24.6,T4TTemp C
5,-5,9.6,23.7,T4TTemp C
10,-5,9.6,24.1,T4TTemp C
15,-5,9.6,23.8,T4TTemp C
20,-5,9.6,23.6,T4TTemp C
25,-5,9.6,23.8,T4TTemp C
30,-5,9.6,23.7,T4TTemp C
35,-5,9.6,23.9,T4TTemp C
40,-5,9.6,24.1,T4TTemp C
45,-5,9.6,24.1,T4TTemp C
0,0,9.6,24,T4TTemp C
5,0,9.6,23.8,T4TTemp C
10,0,9.6,23.6,T4TTemp C
15,0,9.6,23.9,T4TTemp C
20,0,9.6,23.4,T4TTemp C
25,0,9.6,23.2,T4TTemp C
30,0,9.6,23.6,T4TTemp C
35,0,9.6,23.6,T4TTemp C
40,0,9.6,23.6,T4TTemp C
45,0,9.6,23.4,T4TTemp C
0,5,9.6,23.3,T4TTemp C
5,5,9.6,23.6,T4TTemp C
10,5,9.6,23.4,T4TTemp C
15,5,9.6,23.3,T4TTemp C
20,5,9.6,23.6,T4TTemp C
25,5,9.6,23.6,T4TTemp C
30,5,9.6,23.7,T4TTemp C
35,5,9.6,23.2,T4TTemp C
40,5,9.6,23.2,T4TTemp C
45,5,9.6,23.4,T4TTemp C
0,10,9.6,23.6,T4TTemp C
5,10,9.6,23.6,T4TTemp C
10,10,9.6,23.6,T4TTemp C
15,10,9.6,23.7,T4TTemp C
20,10,9.6,23.7,T4TTemp C
25,10,9.6,23.9,T4TTemp C
30,10,9.6,23.6,T4TTemp C
35,10,9.6,23.7,T4TTemp C
