cross_section,longitudinal,depth,Temperature,Unit
0,0,0,25.8,T1TTemp C
5,0,0,25.8,T1TTemp C
10,0,0,21.3,T1TTemp C
15,0,0,18.6,T1TTemp C
20,0,0,19.4,T1TTemp C
25,0,0,21.9,T1TTemp C
30,0,0,22.6,T1TTemp C
35,0,0,23.3,T1TTemp C
40,0,0,22.3,T1TTemp C
45,0,0,21.6,T1TTemp C
50,0,0,23.5,T1TTemp C
55,0,0,25.4,T1TTemp C
58,0,0,25.6,T1TTemp C
0,0,3.2,25.9,T2TTemp C
5,0,3.2,25.9,T2TTemp C
10,0,3.2,22.5,T2TTemp C
15,0,3.2,19.8,T2TTemp C
20,0,3.2,23.3,T2TTemp C
25,0,3.2,24.7,T2TTemp C
30,0,3.2,25.2,T2TTemp C
35,0,3.2,25.2,T2TTemp C
40,0,3.2,25.2,T2TTemp C
45,0,3.2,23.2,T2TTemp C
50,0,3.2,25,T2TTemp C
55,0,3.2,25.6,T2TTemp C
58,0,3.2,25.7,T2TTemp C
0,0,6.4,25.7,T3TTemp C
5,0,6.4,25.8,T3TTemp C
10,0,6.4,24.8,T3TTemp C
15,0,6.4,24.4,T3TTemp C
20,0,6.4,25.5,T3TTemp C
25,0,6.4,25.8,T3TTemp C
30,0,6.4,25.8,T3TTemp C
35,0,6.4,25.8,T3TTemp C
40,0,6.4,25.8,T3TTemp C
45,0,6.4,25.6,T3TTemp C
50,0,6.4,25.5,T3TTemp C
55,0,6.4,25.7,T3TTemp C
58,0,6.4,25.7,T3TTemp C
0,0,9.6,25.8,T4TTemp C
5,0,9.6,25.9,T4TTemp C
10,0,9.6,25.9,T4TTemp C
15,0,9.6,25.8,T4TTemp C
20,0,9.6,25.9,T4TTemp C
25,0,9.6,25.9,T4TTemp C
30,0,9.6,25.9,T4TTemp C
35,0,9.6,25.8,T4TTemp C
40,0,9.6,25.9,T4TTemp C
45,0,9.6,25.9,T4TTemp C
50,0,9.6,25.8,T4TTemp C
55,0,9.6,25.7,T4TTemp C
58,0,9.6,25.7,T4TTemp C
0,0,12.8,25.8,T5TTemp C
5,0,12.8,25.9,T5TTemp C
10,0,12.8,25.9,T5TTemp C
15,0,12.8,25.9,T5TTemp C
20,0,12.8,25.9,T5TTemp C
25,0,12.8,25.9,T5TTemp C
30,0,12.8,25.9,T5TTemp C
35,0,12.8,25.8,T5TTemp C
40,0,12.8,25.8,T5TTemp C
45,0,12.8,25.8,T5TTemp C
50,0,12.8,25.8,T5TTemp C
55,0,12.8,25.7,T5TTemp C
58,0,12.8,25.7,T5TTemp C
0,0,16,25.9,T6TTemp C
5,0,16,25.9,T6TTemp C
10,0,16,25.9,T6TTemp C
15,0,16,25.9,T6TTemp C
20,0,16,26,T6TTemp C
25,0,16,26,T6TTemp C
30,0,16,25.9,T6TTemp C
35,0,16,25.9,T6TTemp C
40,0,16,26,T6TTemp C
45,0,16,25.9,T6TTemp C
50,0,16,25.8,T6TTemp C
55,0,16,25.8,T6TTemp C
58,0,16,25.8,T6TTemp C
0,0,19.2,25.5,T7TTemp C
5,0,19.2,25.7,T7TTemp C
10,0,19.2,25.7,T7TTemp C
15,0,19.2,25.7,T7TTemp C
20,0,19.2,25.7,T7TTemp C
25,0,19.2,25.7,T7TTemp C
30,0,19.2,25.7,T7TTemp C
35,0,19.2,25.6,T7TTemp C
40,0,19.2,25.6,T7TTemp C
45,0,19.2,25.6,T7TTemp C
50,0,19.2,25.6,T7TTemp C
55,0,19.2,25.5,T7TTemp C
58,0,19.2,25.4,T7TTemp C
0,0,22.4,25.7,T8TTemp C
5,0,22.4,25.8,T8TTemp C
10,0,22.4,25.8,T8TTemp C
15,0,22.4,25.9,T8TTemp C
20,0,22.4,25.9,T8TTemp C
25,0,22.4,25.9,T8TTemp C
30,0,22.4,25.8,T8TTemp C
35,0,22.4,25.8,T8TTemp C
40,0,22.4,25.8,T8TTemp C
45,0,22.4,25.8,T8TTemp C
50,0,22.4,25.7,T8TTemp C
55,0,22.4,25.6,T8TTemp C
58,0,22.4,25.6,T8TTemp C
0,0,25.6,25.4,T9TTemp C
5,0,25.6,25.5,T9TTemp C
10,0,25.6,25.5,T9TTemp C
15,0,25.6,25.5,T9TTemp C
20,0,25.6,25.5,T9TTemp C
25,0,25.6,25.5,T9TTemp C
30,0,25.6,25.5,T9TTemp C
35,0,25.6,25.4,T9TTemp C
40,0,25.6,25.5,T9TTemp C
45,0,25.6,25.4,T9TTemp C
50,0,25.6,25.4,T9TTemp C
55,0,25.6,25.4,T9TTemp C
58,0,25.6,25.3,T9TTemp C
0,0,28.8,25.7,T10TTemp C
5,0,28.8,25.7,T10TTemp C
10,0,28.8,25.7,T10TTemp C
15,0,28.8,25.7,T10TTemp C
20,0,28.8,25.7,T10TTemp C
25,0,28.8,25.7,T10TTemp C
30,0,28.8,25.7,T10TTemp C
35,0,28.8,25.6,T10TTemp C
40,0,28.8,25.7,T10TTemp C
45,0,28.8,25.6,T10TTemp C
50,0,28.8,25.5,T10TTemp C
55,0,28.8,25.5,T10TTemp C
58,0,28.8,25.4,T10TTemp C
