"cross_section","longitudinal","depth","Place","Date","Time","Temperature","Unit"
40,-5,16,"MEAN",2026-03-10,12:21:10,24.8,"6"
40,-5,19.2,"MEAN",2026-03-10,12:21:10,24.4,"7"
40,-5,22.4,"MEAN",2026-03-10,12:21:10,24.6,"8"
40,-5,25.6,"MEAN",2026-03-10,12:21:10,24.2,"9"
40,-5,28.8,"MEAN",2026-03-10,12:21:10,24.5,"10"
45,-5,0,"MEAN",2026-03-10,12:25:11,20.9103448275862,"1"
45,-5,3.2,"MEAN",2026-03-10,12:25:11,21.9689655172414,"2"
45,-5,6.4,"MEAN",2026-03-10,12:25:11,22.751724137931,"3"
45,-5,9.6,"MEAN",2026-03-10,12:25:11,24.348275862069,"4"
45,-5,12.8,"MEAN",2026-03-10,12:25:11,24.4,"5"
45,-5,16,"MEAN",2026-03-10,12:25:11,24.7,"6"
45,-5,19.2,"MEAN",2026-03-10,12:25:11,24.0931034482759,"7"
45,-5,22.4,"MEAN",2026-03-10,12:25:11,24.3931034482759,"8"
45,-5,25.6,"MEAN",2026-03-10,12:25:11,23.9827586206897,"9"
45,-5,28.8,"MEAN",2026-03-10,12:25:11,24.2793103448276,"10"
50,-5,0,"MEAN",2026-03-10,12:26:10,18.8275862068966,"1"
50,-5,3.2,"MEAN",2026-03-10,12:26:10,22.4896551724138,"2"
50,-5,6.4,"MEAN",2026-03-10,12:26:10,23.3172413793103,"3"
50,-5,9.6,"MEAN",2026-03-10,12:26:10,24.4,"4"
50,-5,12.8,"MEAN",2026-03-10,12:26:10,24.4,"5"
50,-5,16,"MEAN",2026-03-10,12:26:10,24.7,"6"
50,-5,19.2,"MEAN",2026-03-10,12:26:10,24.2,"7"
50,-5,22.4,"MEAN",2026-03-10,12:26:10,24.5,"8"
50,-5,25.6,"MEAN",2026-03-10,12:26:10,24,"9"
50,-5,28.8,"MEAN",2026-03-10,12:26:10,24.3,"10"
55,-5,0,"MEAN",2026-03-10,12:27:10,19.8166666666667,"1"
55,-5,3.2,"MEAN",2026-03-10,12:27:10,22.4533333333333,"2"
55,-5,6.4,"MEAN",2026-03-10,12:27:10,24,"3"
55,-5,9.6,"MEAN",2026-03-10,12:27:10,24.55,"4"
55,-5,12.8,"MEAN",2026-03-10,12:27:10,24.35,"5"
55,-5,16,"MEAN",2026-03-10,12:27:10,24.54,"6"
55,-5,19.2,"MEAN",2026-03-10,12:27:10,24.0033333333333,"7"
55,-5,22.4,"MEAN",2026-03-10,12:27:10,24.4,"8"
55,-5,25.6,"MEAN",2026-03-10,12:27:10,24,"9"
55,-5,28.8,"MEAN",2026-03-10,12:27:10,24.3,"10"
58,-5,0,"MEAN",2026-03-10,12:28:11,23.4966666666667,"1"
58,-5,3.2,"MEAN",2026-03-10,12:28:11,24.3633333333333,"2"
58,-5,6.4,"MEAN",2026-03-10,12:28:11,24.34,"3"
58,-5,9.6,"MEAN",2026-03-10,12:28:11,24.64,"4"
58,-5,12.8,"MEAN",2026-03-10,12:28:11,24.4433333333333,"5"
58,-5,16,"MEAN",2026-03-10,12:28:11,24.6433333333333,"6"
58,-5,19.2,"MEAN",2026-03-10,12:28:11,24.1433333333333,"7"
58,-5,22.4,"MEAN",2026-03-10,12:28:11,24.44,"8"
58,-5,25.6,"MEAN",2026-03-10,12:28:11,24.04,"9"
58,-5,28.8,"MEAN",2026-03-10,12:28:11,24.27,"10"
0,0,0,NA,NA,NA,NA,NA
0,0,3.2,NA,NA,NA,NA,NA
0,0,6.4,NA,NA,NA,NA,NA
0,0,9.6,NA,NA,NA,NA,NA
0,0,12.8,NA,NA,NA,NA,NA
0,0,16,NA,NA,NA,NA,NA
0,0,19.2,NA,NA,NA,NA,NA
0,0,22.4,NA,NA,NA,NA,NA
0,0,25.6,NA,NA,NA,NA,NA
0,0,28.8,NA,NA,NA,NA,NA
5,0,0,NA,NA,NA,NA,NA
5,0,3.2,NA,NA,NA,NA,NA
5,0,6.4,NA,NA,NA,NA,NA
5,0,9.6,NA,NA,NA,NA,NA
5,0,12.8,NA,NA,NA,NA,NA
5,0,16,NA,NA,NA,NA,NA
5,0,19.2,NA,NA,NA,NA,NA
5,0,22.4,NA,NA,NA,NA,NA
5,0,25.6,NA,NA,NA,NA,NA
5,0,28.8,NA,NA,NA,NA,NA
10,0,0,NA,NA,NA,NA,NA
10,0,3.2,NA,NA,NA,NA,NA
10,0,6.4,NA,NA,NA,NA,NA
10,0,9.6,NA,NA,NA,NA,NA
10,0,12.8,NA,NA,NA,NA,NA
10,0,16,NA,NA,NA,NA,NA
10,0,19.2,NA,NA,NA,NA,NA
10,0,22.4,NA,NA,NA,NA,NA
10,0,25.6,NA,NA,NA,NA,NA
10,0,28.8,NA,NA,NA,NA,NA
15,0,0,NA,NA,NA,NA,NA
15,0,3.2,NA,NA,NA,NA,NA
15,0,6.4,NA,NA,NA,NA,NA
15,0,9.6,NA,NA,NA,NA,NA
15,0,12.8,NA,NA,NA,NA,NA
15,0,16,NA,NA,NA,NA,NA
15,0,19.2,NA,NA,NA,NA,NA
15,0,22.4,NA,NA,NA,NA,NA
15,0,25.6,NA,NA,NA,NA,NA
15,0,28.8,NA,NA,NA,NA,NA
20,0,0,NA,NA,NA,NA,NA
20,0,3.2,NA,NA,NA,NA,NA
20,0,6.4,NA,NA,NA,NA,NA
20,0,9.6,NA,NA,NA,NA,NA
